,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,movieId
233,Drama,,,,,,,,,,271
234,Comedy,Drama,,,,,,,,,272
235,Drama,Horror,Sci-Fi,,,,,,,,273
236,Comedy,,,,,,,,,,274
237,Comedy,,,,,,,,,,275
238,Comedy,Romance,,,,,,,,,276
239,Drama,,,,,,,,,,277
240,Comedy,,,,,,,,,,278
241,Drama,,,,,,,,,,279
242,Drama,Thriller,,,,,,,,,280
243,Comedy,Drama,Romance,,,,,,,,281
244,Drama,,,,,,,,,,282
245,Crime,Drama,,,,,,,,,283
246,Action,Crime,,,,,,,,,284
247,Drama,Horror,,,,,,,,,285
248,Comedy,Romance,,,,,,,,,287
249,Action,Crime,Thriller,,,,,,,,288
250,Comedy,Romance,,,,,,,,,289
251,Crime,Drama,,,,,,,,,290
252,Drama,Thriller,,,,,,,,,291
253,Action,Drama,Sci-Fi,Thriller,,,,,,,292
254,Action,Crime,Drama,Thriller,,,,,,,293
255,Comedy,Romance,,,,,,,,,294
256,Comedy,Romance,,,,,,,,,295
257,Comedy,Crime,Drama,Thriller,,,,,,,296
258,Drama,,,,,,,,,,298
259,Drama,,,,,,,,,,299
260,Drama,,,,,,,,,,300
261,Drama,Romance,,,,,,,,,301
262,Drama,Romance,,,,,,,,,302
263,Action,Thriller,Western,,,,,,,,303
264,Comedy,Drama,,,,,,,,,304
265,Comedy,,,,,,,,,,305
266,Drama,,,,,,,,,,306
267,Drama,,,,,,,,,,307
268,Comedy,Drama,,,,,,,,,308
269,Comedy,,,,,,,,,,310
270,Horror,Thriller,,,,,,,,,311
271,Comedy,,,,,,,,,,312
272,Animation,Children,,,,,,,,,313
273,Children,Drama,Fantasy,Mystery,,,,,,,314
274,Action,Drama,Thriller,,,,,,,,315
275,Action,Adventure,Sci-Fi,,,,,,,,316
276,Comedy,Drama,Fantasy,,,,,,,,317
277,Crime,Drama,,,,,,,,,318
278,Comedy,Drama,Thriller,,,,,,,,319
279,Film-Noir,Thriller,,,,,,,,,320
280,Drama,,,,,,,,,,321
281,Comedy,Drama,,,,,,,,,322
282,Comedy,Drama,,,,,,,,,324
283,Comedy,,,,,,,,,,325
284,Drama,,,,,,,,,,326
285,Action,Comedy,Sci-Fi,,,,,,,,327
286,Horror,Thriller,,,,,,,,,328
287,Adventure,Drama,Sci-Fi,,,,,,,,329
288,Action,Crime,Horror,,,,,,,,330
289,Drama,,,,,,,,,,331
290,Horror,Sci-Fi,,,,,,,,,332
291,Comedy,,,,,,,,,,333
292,Drama,,,,,,,,,,334
293,Mystery,Thriller,,,,,,,,,335
294,Drama,War,,,,,,,,,336
295,Drama,,,,,,,,,,337
296,Action,Sci-Fi,Thriller,,,,,,,,338
297,Comedy,Romance,,,,,,,,,339
298,Adventure,Drama,War,,,,,,,,340
299,Drama,,,,,,,,,,341
300,Comedy,,,,,,,,,,342
301,Children,,,,,,,,,,343
302,Comedy,,,,,,,,,,344
303,Comedy,Drama,,,,,,,,,345
304,Drama,Musical,,,,,,,,,346
305,Drama,Film-Noir,Romance,,,,,,,,347
306,Comedy,,,,,,,,,,348
307,Action,Crime,Drama,Thriller,,,,,,,349
308,Drama,Mystery,Thriller,,,,,,,,350
309,Comedy,Drama,Romance,,,,,,,,351
310,Comedy,Drama,,,,,,,,,352
311,Action,Crime,Fantasy,Thriller,,,,,,,353
312,Drama,,,,,,,,,,354
313,Children,Comedy,Fantasy,,,,,,,,355
314,Comedy,Drama,Romance,War,,,,,,,356
315,Comedy,Romance,,,,,,,,,357
316,Drama,,,,,,,,,,358
317,Comedy,Drama,Romance,,,,,,,,359
318,Action,Comedy,,,,,,,,,360
319,Comedy,Drama,Romance,,,,,,,,361
320,Adventure,Children,Romance,,,,,,,,362
321,Documentary,,,,,,,,,,363
322,Adventure,Animation,Children,Drama,Musical,IMAX,,,,,364
323,Drama,,,,,,,,,,365
324,Drama,Horror,Mystery,Thriller,,,,,,,366
325,Action,Comedy,Crime,Fantasy,,,,,,,367
326,Adventure,Comedy,Western,,,,,,,,368
327,Drama,,,,,,,,,,369
328,Action,Comedy,,,,,,,,,370
329,Comedy,Drama,,,,,,,,,371
330,Comedy,Drama,Romance,,,,,,,,372
331,Thriller,,,,,,,,,,373
332,Children,Comedy,,,,,,,,,374
333,Action,Thriller,,,,,,,,,376
334,Action,Romance,Thriller,,,,,,,,377
335,Comedy,Romance,,,,,,,,,378
336,Action,Sci-Fi,Thriller,,,,,,,,379
337,Action,Adventure,Comedy,Romance,Thriller,,,,,,380
338,Drama,Romance,,,,,,,,,381
339,Drama,Horror,Romance,Thriller,,,,,,,382
340,Western,,,,,,,,,,383
341,Action,Crime,Drama,,,,,,,,384
342,Drama,,,,,,,,,,385
343,Drama,,,,,,,,,,386
344,Action,Comedy,,,,,,,,,387
345,Drama,,,,,,,,,,388
346,Drama,Romance,War,,,,,,,,389
347,Action,Crime,Drama,,,,,,,,390
348,Crime,Drama,,,,,,,,,391
349,Action,Adventure,Fantasy,,,,,,,,393
350,Action,Fantasy,,,,,,,,,405
351,Drama,,,,,,,,,,406
352,Horror,Thriller,,,,,,,,,407
353,Drama,,,,,,,,,,408
354,Crime,Drama,,,,,,,,,409
355,Children,Comedy,Fantasy,,,,,,,,410
356,Drama,,,,,,,,,,412
357,Comedy,,,,,,,,,,413
358,Comedy,,,,,,,,,,414
359,Comedy,Thriller,,,,,,,,,415
360,Western,,,,,,,,,,416
361,Comedy,Romance,,,,,,,,,417
362,Drama,,,,,,,,,,418
363,Comedy,,,,,,,,,,419
364,Action,Comedy,Crime,Thriller,,,,,,,420
365,Adventure,Children,Drama,,,,,,,,421
366,Thriller,,,,,,,,,,422
367,Action,Thriller,,,,,,,,,423
368,Drama,,,,,,,,,,424
369,Drama,Romance,,,,,,,,,425
370,Horror,Sci-Fi,Thriller,,,,,,,,426
371,Drama,Mystery,Romance,Thriller,,,,,,,427
372,Drama,,,,,,,,,,428
373,Comedy,,,,,,,,,,429
374,Comedy,Drama,,,,,,,,,430
375,Crime,Drama,,,,,,,,,431
376,Adventure,Comedy,Western,,,,,,,,432
377,Comedy,,,,,,,,,,433
378,Action,Adventure,Thriller,,,,,,,,434
379,Comedy,Sci-Fi,,,,,,,,,435
380,Drama,Thriller,,,,,,,,,436
381,Comedy,,,,,,,,,,437
382,Action,Comedy,Drama,,,,,,,,438
383,Comedy,Romance,,,,,,,,,440
384,Comedy,,,,,,,,,,441
385,Action,Adventure,Sci-Fi,,,,,,,,442
386,Comedy,Romance,,,,,,,,,444
387,Comedy,,,,,,,,,,445
388,Drama,Romance,,,,,,,,,446
389,Drama,,,,,,,,,,448
390,Comedy,,,,,,,,,,449
391,Comedy,Drama,,,,,,,,,450
392,Drama,Mystery,Romance,,,,,,,,451
393,Drama,,,,,,,,,,452
394,Comedy,Romance,,,,,,,,,453
395,Drama,Thriller,,,,,,,,,454
396,Adventure,Children,Drama,,,,,,,,455
397,Crime,Drama,Thriller,,,,,,,,456
398,Thriller,,,,,,,,,,457
399,Drama,Western,,,,,,,,,458
400,Action,Adventure,Crime,Drama,Romance,Thriller,,,,,459
401,Comedy,,,,,,,,,,460
402,Drama,Romance,,,,,,,,,461
403,Action,Adventure,Crime,Thriller,,,,,,,464
404,Action,Comedy,War,,,,,,,,466
405,Comedy,,,,,,,,,,467
406,Comedy,Romance,,,,,,,,,468
407,Drama,Romance,,,,,,,,,469
408,Comedy,,,,,,,,,,470
409,Comedy,,,,,,,,,,471
410,Comedy,Drama,,,,,,,,,472
411,Comedy,War,,,,,,,,,473
412,Action,Thriller,,,,,,,,,474
413,Drama,,,,,,,,,,475
414,Comedy,Drama,,,,,,,,,476
415,Drama,Musical,,,,,,,,,477
416,Comedy,Crime,Drama,,,,,,,,478
417,Action,Crime,Thriller,,,,,,,,479
418,Action,Adventure,Sci-Fi,Thriller,,,,,,,480
419,Drama,Thriller,,,,,,,,,481
420,Crime,Drama,Thriller,,,,,,,,482
421,Adventure,Children,,,,,,,,,484
422,Action,Adventure,Comedy,Fantasy,,,,,,,485
423,Comedy,,,,,,,,,,486
424,Comedy,Western,,,,,,,,,487
425,Drama,Romance,,,,,,,,,488
426,Comedy,,,,,,,,,,489
427,Thriller,,,,,,,,,,490
428,Drama,,,,,,,,,,491
429,Comedy,Mystery,,,,,,,,,492
430,Action,Crime,Drama,,,,,,,,493
431,Action,Adventure,Thriller,,,,,,,,494
432,Drama,,,,,,,,,,495
433,Comedy,Drama,Romance,Thriller,,,,,,,496
434,Comedy,Romance,,,,,,,,,497
435,Comedy,Romance,,,,,,,,,499
436,Comedy,Drama,,,,,,,,,500
437,Drama,,,,,,,,,,501
438,Action,Children,Romance,,,,,,,,502
439,Action,Drama,Sci-Fi,,,,,,,,504
440,Comedy,,,,,,,,,,505
441,Drama,Fantasy,Romance,,,,,,,,506
442,Crime,Drama,Thriller,,,,,,,,507
443,Drama,,,,,,,,,,508
444,Drama,Romance,,,,,,,,,509
445,Drama,,,,,,,,,,510
446,Action,Drama,,,,,,,,,511
447,Horror,Sci-Fi,,,,,,,,,512
448,Comedy,Mystery,Romance,,,,,,,,513
449,Comedy,,,,,,,,,,514
450,Drama,Romance,,,,,,,,,515
451,Comedy,Drama,,,,,,,,,516
452,Action,Drama,Mystery,,,,,,,,517
453,Comedy,,,,,,,,,,518
454,Action,Crime,Drama,Sci-Fi,Thriller,,,,,,519
455,Comedy,,,,,,,,,,520
456,Crime,Thriller,,,,,,,,,521
457,Action,Drama,,,,,,,,,522
458,Drama,,,,,,,,,,523
459,Drama,,,,,,,,,,524
460,Drama,,,,,,,,,,526
461,Drama,War,,,,,,,,,527
462,Comedy,Drama,,,,,,,,,528
463,Drama,,,,,,,,,,529
464,Children,Drama,,,,,,,,,531
465,Comedy,Crime,Horror,,,,,,,,532
466,Action,Adventure,Fantasy,Mystery,,,,,,,533
467,Drama,Romance,,,,,,,,,534
468,Drama,,,,,,,,,,535
469,Drama,,,,,,,,,,536
470,Drama,,,,,,,,,,537
471,Drama,,,,,,,,,,538
472,Comedy,Drama,Romance,,,,,,,,539
473,Thriller,,,,,,,,,,540
474,Action,Sci-Fi,Thriller,,,,,,,,541
475,Comedy,Drama,Romance,,,,,,,,542
476,Comedy,Romance,Thriller,,,,,,,,543
477,Action,Crime,,,,,,,,,544
478,Action,Adventure,Children,Comedy,Fantasy,Sci-Fi,,,,,546
479,Action,Adventure,Thriller,,,,,,,,547
480,Action,Mystery,Thriller,,,,,,,,548
481,Drama,Musical,,,,,,,,,549
482,Comedy,Romance,,,,,,,,,550
483,Animation,Children,Fantasy,Musical,,,,,,,551
484,Action,Adventure,Comedy,Romance,,,,,,,552
485,Action,Drama,Western,,,,,,,,553
486,Crime,Thriller,,,,,,,,,555
487,Documentary,,,,,,,,,,556
488,Action,Adventure,Animation,Children,Fantasy,,,,,,558
489,Comedy,Drama,,,,,,,,,562
490,Drama,Romance,,,,,,,,,563
491,Comedy,,,,,,,,,,564
492,Comedy,Drama,,,,,,,,,567
493,Comedy,Drama,,,,,,,,,568
494,Comedy,Drama,,,,,,,,,569
495,Drama,,,,,,,,,,573
496,Comedy,Drama,,,,,,,,,574
497,Children,Comedy,,,,,,,,,575
498,Adventure,Children,Drama,,,,,,,,577
499,Crime,Thriller,,,,,,,,,579
500,Drama,,,,,,,,,,580
501,Documentary,,,,,,,,,,581
502,Comedy,Drama,,,,,,,,,583
503,Comedy,,,,,,,,,,585
504,Children,Comedy,,,,,,,,,586
505,Comedy,Drama,Fantasy,Romance,Thriller,,,,,,587
506,Adventure,Animation,Children,Comedy,Musical,,,,,,588
507,Action,Sci-Fi,,,,,,,,,589
508,Adventure,Drama,Western,,,,,,,,590
509,Action,Crime,Thriller,,,,,,,,592
510,Crime,Horror,Thriller,,,,,,,,593
511,Animation,Children,Drama,Fantasy,Musical,,,,,,594
512,Animation,Children,Fantasy,Musical,Romance,IMAX,,,,,595
513,Animation,Children,Fantasy,Musical,,,,,,,596
514,Comedy,Romance,,,,,,,,,597
515,Adventure,Western,,,,,,,,,599
516,Action,Comedy,Crime,,,,,,,,600
517,Documentary,,,,,,,,,,602
518,Drama,Romance,,,,,,,,,605
519,Fantasy,Horror,,,,,,,,,606
520,Comedy,Crime,Drama,Thriller,,,,,,,608
521,Adventure,Children,,,,,,,,,609
522,Action,Adventure,Animation,Horror,Sci-Fi,,,,,,610
523,Action,Horror,Sci-Fi,,,,,,,,611
524,Comedy,,,,,,,,,,612
525,Drama,Romance,,,,,,,,,613
526,Comedy,Drama,,,,,,,,,615
527,Animation,Children,,,,,,,,,616
528,Comedy,Drama,,,,,,,,,617
529,Comedy,Romance,,,,,,,,,618
530,Comedy,,,,,,,,,,619
531,Comedy,,,,,,,,,,626
532,Drama,Thriller,,,,,,,,,627
533,Crime,Drama,Mystery,Thriller,,,,,,,628
534,Adventure,Animation,Children,Fantasy,Musical,Romance,,,,,631
535,Drama,War,,,,,,,,,632
536,Comedy,,,,,,,,,,633
537,Comedy,,,,,,,,,,634
538,Comedy,Drama,,,,,,,,,635
539,Drama,,,,,,,,,,636
540,Comedy,,,,,,,,,,637
541,Romance,,,,,,,,,,638
542,Comedy,Drama,,,,,,,,,639
543,Drama,Thriller,,,,,,,,,640
544,Drama,,,,,,,,,,645
545,Action,Crime,Drama,War,,,,,,,647
546,Action,Adventure,Mystery,Thriller,,,,,,,648
547,Comedy,Drama,,,,,,,,,649
548,Drama,,,,,,,,,,650
549,Action,Adventure,Fantasy,,,,,,,,653
550,Comedy,,,,,,,,,,656
551,Adventure,Animation,Children,Fantasy,Musical,,,,,,661
552,Thriller,,,,,,,,,,662
553,Comedy,,,,,,,,,,663
554,Comedy,Drama,War,,,,,,,,665
555,Action,,,,,,,,,,667
556,Drama,,,,,,,,,,668
557,Drama,,,,,,,,,,670
558,Comedy,Sci-Fi,,,,,,,,,671
559,Adventure,Animation,Children,Comedy,Fantasy,Sci-Fi,,,,,673
560,Adventure,Comedy,Sci-Fi,,,,,,,,674
561,Drama,Thriller,,,,,,,,,678
562,Drama,,,,,,,,,,679
563,Drama,Mystery,Romance,Sci-Fi,Thriller,,,,,,680
564,Drama,,,,,,,,,,685
565,Action,Adventure,Comedy,War,,,,,,,688
566,Comedy,Romance,,,,,,,,,691
567,Action,Sci-Fi,Thriller,,,,,,,,692
568,Action,Crime,Drama,,,,,,,,694
569,Mystery,Thriller,,,,,,,,,695
570,Drama,Romance,,,,,,,,,697
571,Drama,,,,,,,,,,698
572,Comedy,,,,,,,,,,700
573,Drama,,,,,,,,,,703
574,Action,Adventure,,,,,,,,,704
575,Drama,,,,,,,,,,706
576,Crime,Drama,Thriller,,,,,,,,707
577,Comedy,Romance,,,,,,,,,708
578,Adventure,Animation,Children,Comedy,Musical,,,,,,709
579,Comedy,,,,,,,,,,710
580,Adventure,Children,,,,,,,,,711
581,Drama,Mystery,Western,,,,,,,,714
582,Drama,Romance,,,,,,,,,715
583,Comedy,Fantasy,Sci-Fi,,,,,,,,718
584,Comedy,,,,,,,,,,719
585,Adventure,Animation,Comedy,,,,,,,,720
586,Documentary,,,,,,,,,,722
587,Drama,Fantasy,Horror,Thriller,,,,,,,724
588,Comedy,,,,,,,,,,725
589,Drama,,,,,,,,,,726
590,Comedy,,,,,,,,,,728
591,Crime,Thriller,,,,,,,,,731
592,Action,Adventure,Thriller,,,,,,,,733
593,Horror,,,,,,,,,,735
594,Action,Adventure,Romance,Thriller,,,,,,,736
595,Action,Sci-Fi,,,,,,,,,737
596,Animation,Sci-Fi,,,,,,,,,741
597,Horror,Thriller,,,,,,,,,742
598,Comedy,,,,,,,,,,743
599,Animation,Children,Comedy,,,,,,,,745
600,Comedy,,,,,,,,,,747
601,Action,Sci-Fi,Thriller,,,,,,,,748
602,Comedy,War,,,,,,,,,750
603,Drama,,,,,,,,,,757
604,Documentary,,,,,,,,,,759
605,Drama,War,,,,,,,,,760
606,Action,Adventure,,,,,,,,,761
607,Comedy,Crime,,,,,,,,,762
608,Drama,Romance,,,,,,,,,764
609,Comedy,Drama,,,,,,,,,765
610,Drama,,,,,,,,,,766
611,Drama,,,,,,,,,,773
612,Horror,Mystery,,,,,,,,,775
613,Comedy,Crime,Drama,,,,,,,,778
614,Drama,Romance,,,,,,,,,779
615,Action,Adventure,Sci-Fi,Thriller,,,,,,,780
616,Drama,,,,,,,,,,781
617,Drama,Thriller,,,,,,,,,782
618,Animation,Children,Drama,Musical,Romance,,,,,,783
619,Comedy,Thriller,,,,,,,,,784
620,Comedy,,,,,,,,,,785
621,Action,Drama,Thriller,,,,,,,,786
622,Comedy,Fantasy,Romance,Sci-Fi,,,,,,,788
623,Drama,,,,,,,,,,790
624,Documentary,,,,,,,,,,791
625,Drama,,,,,,,,,,795
626,Action,Adventure,Drama,Thriller,,,,,,,798
627,Comedy,Horror,Thriller,,,,,,,,799
628,Drama,Mystery,Western,,,,,,,,800
629,Children,Comedy,,,,,,,,,801
630,Drama,Romance,,,,,,,,,802
631,Comedy,Drama,Romance,,,,,,,,803
632,Comedy,Romance,,,,,,,,,804
633,Drama,Thriller,,,,,,,,,805
634,Crime,Drama,,,,,,,,,806
635,Adventure,Children,,,,,,,,,808
636,Action,Adventure,,,,,,,,,809
637,Children,Comedy,Fantasy,,,,,,,,810
638,Comedy,,,,,,,,,,813
639,Comedy,,,,,,,,,,818
640,Drama,,,,,,,,,,823
641,Drama,Mystery,,,,,,,,,824
642,Adventure,Children,,,,,,,,,828
643,Comedy,Fantasy,Musical,,,,,,,,829
644,Comedy,,,,,,,,,,830
645,Crime,Thriller,,,,,,,,,832
646,Comedy,,,,,,,,,,833
647,Drama,,,,,,,,,,835
648,Action,Adventure,Thriller,,,,,,,,836
649,Children,Comedy,Fantasy,,,,,,,,837
650,Comedy,Drama,Romance,,,,,,,,838
651,Action,Thriller,,,,,,,,,839
652,Children,Comedy,,,,,,,,,840
